nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Borgo San Benedetto,,hamlet,,,42.8417991,12.7599486,2943285300,,
Borgo Torre,,hamlet,,,43.2983657,12.6652102,4001259780,,Q18492217
Borgonovo,,hamlet,,,43.2577654,12.7394958,1207949258,,Q18492219
Borroni,,village,,,42.9397146,12.6914626,3239181109,,
Boschetti,,hamlet,,,43.0813228,12.5600327,12112504459,,Q18492221
Boschetto,,hamlet,,,43.1791054,12.7961006,1517174387,,
Boschetto,,hamlet,,,43.1805941,12.8011173,1524480974,,
Boschetto Vecchio,,hamlet,,,43.0107857,12.2238466,4022428447,,Q18492223
Bosco,,village,,,43.1425693,12.4683153,2078389134,it:Bosco (Perugia),Q18785396
Botto,,hamlet,,,42.6895335,12.1605184,317003752,,Q18494497
Boveto,,hamlet,,,42.8400473,12.9058049,11096641398,,
Bracacci,,hamlet,,,43.0701295,12.0338081,3966944874,,Q18492225
Branca,,village,,,43.2740904,12.6801201,3880550967,it:Branca (Gubbio),Q3643602
Breccione,,hamlet,,,43.3666017,12.2240546,3883562194,,Q18492229
Broccaro,,hamlet,,,43.2061012,12.749322,1207948668,,Q18492231
Brozzo,,hamlet,,,43.4314808,12.248157,761117080,,
Brufa,,village,,,43.0591647,12.4746436,1885986581,it:Brufa,Q2355372
Brusco,,hamlet,,,42.825659,12.3966494,4031085701,,Q18492237
Buda,,hamlet,,,42.6324241,13.0508941,1263997616,,Q18492239
Budino,,hamlet,,,42.9543001,12.6320405,3885080542,,Q18492241
Bugiano,,hamlet,,,42.8483318,12.9095601,3924085188,,Q4986190
Bugianpiccolo,,hamlet,,,42.8533769,12.9123101,3924085189,,Q18492245
Buonacquisto,,hamlet,,,42.5477566,12.8084511,3886447067,,Q18494499
Buonviaggio,,hamlet,,,42.7036418,12.0808616,3315231058,,
Buotano,,hamlet,,,43.4281327,12.6406408,4413613432,,Q18492247
