nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Aramo,,hamlet,,,43.9547239,10.7029235,1286377676,it:Aramo,Q18329918
Arancio,,hamlet,,,43.9519567,10.3149532,851834062,,
Aratrice,,hamlet,,,42.976457,11.2329319,2622365090,,
Arbia,,village,,,43.2943765,11.4098124,252786510,it:Arbia (Asciano),Q3483653
Arbioli,,hamlet,,,44.4105506,9.797294,9215890796,,
Arcidosso,,village,,,42.8715131,11.5387645,61753482,,
Arcigliano,,hamlet,,,43.9546663,10.8622192,1416251569,,Q18490631
Arcille,,village,,,42.7996592,11.2530746,1643217066,it:Arcille,Q2860633
Arena Metato,,village,,,43.7736599,10.3676271,268872284,it:Arena Metato,Q18490027
Arenella,,hamlet,,,42.3696344,10.9122128,2503721225,,Q18487589
Argenina,,hamlet,,,43.3868184,11.4173635,1051308243,,
Argiano,,hamlet,,,42.984868,11.422454,1757413495,it:Argiano (Montalcino),Q28343441
Argiano,,hamlet,,,43.3626431,11.4082673,11027621715,,
Argigliano,,hamlet,,,44.1923562,10.1886454,1293345501,it:Argigliano,Q16528289
Argigliano,,hamlet,,,44.1910011,10.1902506,11967113330,it:Argigliano,Q16528289
Argini,,hamlet,,,43.1162182,11.0133211,1359392985,,
Ariano,,hamlet,,,43.3829048,10.9425341,1542683084,,
Arionzo-Cravilla,,hamlet,,,44.3129412,9.9137235,1003622014,,Q18489251
Arlia,,hamlet,,,44.2647759,10.1352246,2598570872,,Q18489253
Arliano,,hamlet,,,43.9093255,11.427455,326125010,,
Arliano,,hamlet,,,43.847922,10.4047174,1983066906,,
Armaiolo,,hamlet,,,43.3044786,11.5963003,257541723,,Q18491428
Armena,,hamlet,,,43.6671547,11.9996988,2910067447,,
Arnaccio,,hamlet,,,43.6441942,10.4491519,3596082555,it:Arnaccio,Q18490028
Arnano,,hamlet,,,43.3146579,11.2267052,1544192734,,Q18491429
Arni,,hamlet,,,44.0661202,10.2486854,691563193,it:Arni (Stazzema),Q3623590
Arnuzzolo,,hamlet,,,44.3750279,9.9199372,897932786,,Q18489255
Arpiola-Pianfurcano,,hamlet,,,44.3216949,9.9067584,1003621999,,
Arsenale,,hamlet,,,44.0783418,10.4505303,3334827936,,
Arsicci,,hamlet,,,43.7132878,12.1109328,5129178874,,Q18483984
Arsina,,hamlet,,,43.8913024,10.4939909,495247090,,Q18488406
Artimino,,hamlet,,,43.7827371,11.0357841,317055308,it:Artimino,Q3624429
Arzelato,,hamlet,,,44.3412803,9.8482436,601254516,,
Arzengio,,hamlet,,,44.3895584,9.9026425,602047945,,Q3624707
Ascianello,,hamlet,,,43.1392156,11.7973096,1715089424,,Q18491433
Asciano,,village,,,43.2347752,11.5594227,61753677,en:Asciano,Q91108
Asciano,,village,,,43.7499307,10.4681697,336080413,it:Asciano Pisano,Q3624858
Asilo Poggiolo,,hamlet,,,43.9082013,11.3738592,326125020,,Q18486368
Astracaccio,,hamlet,,,44.0345374,10.6527625,571813504,,
Auscelli,,hamlet,,,43.1164031,11.0341824,1351438842,,
Avaglio,,hamlet,,,43.9538355,10.7790219,1286378832,it:Avaglio (Marliana),Q18490635
Avane,,village,,,43.7896382,10.4085838,264566588,it:Avane (Vecchiano),Q18328180
Avane,,village,,,43.7255522,10.9215227,311483086,it:Avane (Empoli),Q111632706
Avena,,hamlet,,,43.751897,11.7834722,633632409,,Q18483991
Azienda Agricola Tirrenia,,hamlet,,,43.6038033,10.3157852,330680438,,Q18490033
Azzano,,village,,,44.0206557,10.2302331,3688457921,,Q18488409
Baccaiano,,village,,,43.6644787,11.0845389,11047994952,,
Baccana,,hamlet,,,44.2784903,10.0714862,1005310956,,Q18489263
Baccanella,,hamlet,,,43.597775,10.715391,495236997,it:Baccanella,Q16912631
Baccanella,,hamlet,,,43.7820182,10.399265,7950627375,,
Baccanello,,hamlet,,,43.6512093,11.9750057,1444628697,,Q18483998
Bacchereto,,village,,,43.809949,10.9847694,312830832,it:Bacchereto,Q18491308
Baccinello,,village,,,42.7906569,11.3640624,1302481147,it:Baccinello,Q2667422
Bacialla,,hamlet,,,43.2236902,12.0165733,3469868776,,
Baciano,,hamlet,,,43.5953952,11.8744064,1139980256,,
Baco,,hamlet,,,43.8666716,10.9002744,1867198166,,Q18490639
Badalo,,hamlet,,,43.3572241,10.5721678,11549279832,,
Badesse,,village,,,43.3793363,11.2761179,11093308716,en:Badesse,Q18491437
Badia Agnano,,hamlet,,,43.4363251,11.6476077,719614052,,Q18484010
Badia Agnano,,hamlet,,,43.9006128,11.5558776,3911029444,,
Badia Ardenga,,hamlet,,,43.1001347,11.4498489,11016231076,,
Badia Campoleone,,hamlet,,,43.5264273,11.8288735,1983544181,,
Badia Coltibuono,,hamlet,,,43.4942454,11.4502219,339662811,,
Badia Pozzeveri,,village,,,43.8202285,10.6565212,1707070455,it:Badia Pozzeveri,Q3632779
Badia Prataglia,,village,,Arezzo,43.7947734,11.8773845,1718431278,it:Badia Prataglia,Q2010223
Badia Tedalda,,village,,,43.7092081,12.1848762,61753385,,
